ers_sender_rs_type,ers_receiver_rs_type,ers_to_partner_id,ers_from_partner_id, Amount_transfered
SC,MDD,22967994873,22966717512,100 MM
SC,MDD,22966704391,22966717500,25 MM
SC,MDD,22967994861,22966717512,4 MM
SC,MD,22962510000,22966717512,5 MM
SC,MDD,CHAFTEL_MD_22966600003,MTNCSC_SC_JERICHO1_Iwetohossou,24 MM
MDD,MDD,22967994887,22966138409,30 MM
SC,MDD,CHALLENGE_MD1_22966105004,MTNCSC_SC_JERICHO1_Iwetohossou,110 MM
SC,MDD,22967994863,22966717512,19 MM
MTN,SC,MTNCSC_SC_JERICHO1_22966717507,MTN_kdacossi,3 MMM
SC,MDD,22966138409,22966717501,200 MM
MDD,MDD,22967994888,22966138409,5.275 MM
SC,MDD,CHAFTEL_MD2_22967994852,MTNCSC_SC_JERICHO1_Iwetohossou,15 MM
SC,MDD,FAGHAL_MD_22966600002,MTNCSC_SC_JERICHO1_Iwetohossou,100 MM
